"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","conditional_positive_numeric_count","lme4_lmer_REML",12030,TRUE,FALSE,FALSE,"",0.00551166522200219,0.0799817130205464,0.04014274358897,0.286474427234154,0.570655419566606,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.190518291850526,1.39965380744071,10.7343664545385,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",2573,TRUE,FALSE,FALSE,"",0.00295494373858673,0.0441636740795346,0.156471499143717,0.327589245278097,0.955133417913461,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_99238953638b","Bufflehead","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,3.88566564146899,0.546822774854171,7.07994787095011,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_99238953638b","Bufflehead","core_species","conditional_positive_numeric_count","lme4_lmer_REML",50039,TRUE,FALSE,FALSE,"",0.0120660115499049,0.103764350591127,0.0884374285798115,0.475031179790019,0.704031244232654,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_9ae1aa9b7fdf","Common Loon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217199,TRUE,FALSE,FALSE,"",,1.42498637658561,0.700079400958035,7.75698838286341,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_9ae1aa9b7fdf","Common Loon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",15359,TRUE,FALSE,FALSE,"",0.00461948729935102,0.0361067359821602,0.0808192620545477,0.094184963023279,0.395961197049962,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217190,TRUE,FALSE,FALSE,"",,0.164370710047517,0.404674278257749,7.15854714998709,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",34665,TRUE,FALSE,FALSE,"",0.00529384124092758,0.0453732958990467,0.128854929558594,0.64752833226253,1.33487870986687,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a444854c6b66","Double-crested Cormorant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.132152440235145,0.598211849926843,6.25957340485089,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a444854c6b66","Double-crested Cormorant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",29011,TRUE,FALSE,FALSE,"",0.0372155045624822,0.01002899941272,0.0806263398177702,0.20393495209819,0.724086745592772,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_aa5353f6d6d2","Iceland Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217184,TRUE,FALSE,FALSE,"",,0.636835585005951,1.75988989805952,4.64767895750352,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_aa5353f6d6d2","Iceland Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4317,TRUE,FALSE,FALSE,"",0.00426137376052793,0.19916834409507,0.32611182369892,0.53699533369627,1.683026566494,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_acf526bb8010","Marbled Murrelet","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.394636345412465,0.977722307815846,10.9966418054987,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_acf526bb8010","Marbled Murrelet","core_species","conditional_positive_numeric_count","lme4_lmer_REML",3103,TRUE,FALSE,FALSE,"",0.000367217580787838,0.0105343860937849,0.0490739942628088,0.0603904796724809,0.557196984706972,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_b3d3ea90f9cb","Canada Goose","core_species","checklist_reporting","lme4_glmer_nAGQ0",217083,TRUE,FALSE,FALSE,"",,0.836695430100516,0.336751152569194,3.1852193903491,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_b3d3ea90f9cb","Canada Goose","core_species","conditional_positive_numeric_count","lme4_lmer_REML",68271,TRUE,FALSE,FALSE,"",0.103160418802872,0.0442389699867406,0.0784403739493284,0.487579440566842,1.159955704242,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c12b832d2b03","California Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.121892694980273,1.16303366917322,4.54590885109464,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c12b832d2b03","California Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",6644,TRUE,FALSE,FALSE,"",0.00341447957907803,0.0538298299527778,0.2087405918119,0.326897718713301,1.60646609649249,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","checklist_reporting","lme4_glmer_nAGQ0",217092,TRUE,FALSE,FALSE,"",,0.809397002185973,0.781019984763139,8.17539574599017,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","conditional_positive_numeric_count","lme4_lmer_REML",13364,TRUE,FALSE,FALSE,"",0.00355816155206412,0.028198818905916,0.109915771338317,0.172396313863727,0.859385217839459,"completed","long_span_event_excluded"
