"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,0.124498428870532,0.0281973972151678,0.0692325458710329,0.179764311870031,1.13258024102866,1.07168539618744,1.19693522644977,1.00895457623879e-05,8.07163660991034e-05,217037,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_725074cbfcb6","Glaucous-winged Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.179287516639123,0.0151586823525132,0.149577045175114,0.208997988103131,1.19636466947232,1.16134294323567,1.23244251898052,2.81796391235194e-32,1.29626339968189e-30,85053,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","checklist_reporting","active_minus_pre14",TRUE,0.354916230242049,0.0622687211944907,0.232871779337482,0.476960681146617,1.42606118847716,1.2622196263143,1.61117009344813,1.19982272068925e-08,1.4397872648271e-07,217179,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7571c026ae99","American Herring Gull","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0680025081173764,0.0401465826837215,-0.0106833480450771,0.14668836427983,1.07036799308397,0.989373516237189,1.15799303480036,0.0902927531206761,0.173061110147962,1851,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","checklist_reporting","active_minus_pre14",TRUE,0.00496390810335609,0.0284169500456948,-0.0507322905366796,0.0606601067433918,1.00497624870594,0.950533103180814,1.06253770340384,0.861330108535385,0.931741450884289,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7b80ddaff058","Great Blue Heron","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0126222902760103,0.0139217450542536,-0.0146638286322753,0.0399084091842959,1.01270228761077,0.985443161701735,1.04071544985007,0.364586587799534,0.493264207022899,50285,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","checklist_reporting","active_minus_pre14",TRUE,0.158743430828349,0.0463365362861811,0.0679254885391007,0.249561373117597,1.17203719948772,1.07028555696718,1.28346233212334,0.000612810187013685,0.00326832099740632,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_7d980a7c8c37","Northern Pintail","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0793168158618208,0.041046602498284,-0.00113304672254762,0.159766678446189,1.08254723588268,0.998867594932526,1.17323709755184,0.0533150783276454,0.111476981957804,14278,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0176221243870752,0.0278350799927893,-0.0369336299055832,0.0721778786797336,1.01777831011361,0.963740096747682,1.07484651934008,0.526674553258112,0.766072077466345,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_815c98107028","Mallard","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0682081106686106,0.0150514928779228,0.0387077267143208,0.0977084946229004,1.07058808609918,1.03946663092073,1.1026413123837,5.852451930675e-06,2.44738898919136e-05,81526,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
