"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant","offset_days"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_9ae1aa9b7fdf","Common Loon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217199,TRUE,FALSE,FALSE,"",,1.30713906853636,0.683136754765869,7.69124324038372,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_9ae1aa9b7fdf","Common Loon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",15359,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217190,TRUE,FALSE,FALSE,"",,0.103257718497365,0.429113241552171,7.08078942542288,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a113baee5693","American Wigeon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",34665,TRUE,FALSE,FALSE,"",0.00582986103836447,0.059444246461697,0.132517061837856,0.639355669876076,1.35186719556265,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a444854c6b66","Double-crested Cormorant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.129821794087344,0.596856473392079,6.30511997461484,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_a444854c6b66","Double-crested Cormorant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",29011,TRUE,FALSE,FALSE,"",0.0212477607419714,0.00973078998470779,0.0815030887094353,0.204988398744911,0.724975580560314,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_aa5353f6d6d2","Iceland Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217184,TRUE,FALSE,FALSE,"",,0.803567713287269,1.71160544750261,5.36097864627967,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_aa5353f6d6d2","Iceland Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4317,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_acf526bb8010","Marbled Murrelet","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.347591958189585,1.01598396443352,10.6800146309409,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_acf526bb8010","Marbled Murrelet","core_species","conditional_positive_numeric_count","lme4_lmer_REML",3103,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_b3d3ea90f9cb","Canada Goose","core_species","checklist_reporting","lme4_glmer_nAGQ0",217083,TRUE,FALSE,FALSE,"",,0.477741612455508,0.333725561296056,3.18344024544112,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_b3d3ea90f9cb","Canada Goose","core_species","conditional_positive_numeric_count","lme4_lmer_REML",68271,TRUE,FALSE,FALSE,"",0.0221651862375438,0.0234676272835047,0.0779028773827631,0.490557947819838,1.16481859767387,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c12b832d2b03","California Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.283572265762335,1.081506832361,5.21470745199219,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c12b832d2b03","California Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",6644,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","checklist_reporting","lme4_glmer_nAGQ0",217092,TRUE,FALSE,FALSE,"",,0.715945246686484,0.765972570343734,8.34109867776623,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","conditional_positive_numeric_count","lme4_lmer_REML",13364,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c34f23342a55","Pacific Loon","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.42558790428067,1.03932733916062,9.72258977702217,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c34f23342a55","Pacific Loon","core_species","conditional_positive_numeric_count","lme4_lmer_REML",6049,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c9db024faf12","American Crow","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.788184670398261,0.888260522717624,2.41268004546867,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_c9db024faf12","American Crow","core_species","conditional_positive_numeric_count","lme4_lmer_REML",112180,TRUE,FALSE,FALSE,"",0.0138621544465423,0.0403595821694596,0.12151136320283,0.237082463182066,0.727437989232003,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d002764a39e8","Lesser Scaup","core_species","checklist_reporting","lme4_glmer_nAGQ0",216290,TRUE,FALSE,FALSE,"",,0.24041253915033,0.467722333757012,9.38986125747437,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d002764a39e8","Lesser Scaup","core_species","conditional_positive_numeric_count","lme4_lmer_REML",9378,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","core_species","checklist_reporting","lme4_glmer_nAGQ0",216814,TRUE,FALSE,FALSE,"",,0.414684304286215,0.681252641450823,9.08346331609557,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_d7dd9536145c","Barrow's Goldeneye","core_species","conditional_positive_numeric_count","lme4_lmer_REML",10960,TRUE,FALSE,FALSE,"",0.0159243063535541,0.0914933420973471,0.119104640296869,0.315380450516068,1.24072487258178,"completed","placebo_offset_m90",-90
