"stage","analysis_taxon_id","species","outcome","comparison","parent_estimate","s1_estimate","estimate_delta","parent_standard_error","s1_standard_error","parent_ratio","s1_ratio","parent_q_value","s1_q_value","parent_status","s1_status","changed_direction","changed_bh_significance"
"s1_anchor","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","active_minus_pre14",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support",,
"s1_anchor","atx_1930f23cc4f8","Surf Scoter","checklist_reporting","active_minus_pre14",0.0033872325247271,0.0051767529182007,0.0017895203934736,0.0373668225522733,0.0372449888270914,1.00339297567945,1.00519017545531,0.947512022271045,0.913332157946295,"completed","completed",FALSE,FALSE
"s1_anchor","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","active_minus_pre14",0.265309245535371,0.283004055942472,0.0176948104071009,0.0364827310672532,0.0365176902931867,1.3038341183201,1.32711054449026,2.32440140116456e-12,6.04913712869797e-14,"completed","completed",FALSE,FALSE
"s1_anchor","atx_3083477933a8","White-winged Scoter","checklist_reporting","active_minus_pre14",0.0785472556808884,0.0820718617869548,0.00352460610606645,0.0518666813972822,0.0525876549814315,1.08171447110837,1.08553381542648,0.259845384694383,0.219489215456277,"completed","completed",FALSE,FALSE
"s1_anchor","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count","active_minus_pre14",0.158220741237151,0.151359294502654,-0.00686144673449715,0.0528906849315405,0.0537634343862799,1.17142474791803,1.16341459146376,0.00912247352531673,0.0124543119611823,"completed","completed",FALSE,FALSE
"s1_anchor","atx_35518e24dfdd","Common Merganser","checklist_reporting","active_minus_pre14",0.151276771980792,0.164178245094096,0.0129014731133039,0.0299442087649932,0.0300444177473304,1.163318587519,1.178424344732,4.1982001811496e-06,4.45601009465997e-07,"completed","completed",FALSE,FALSE
"s1_anchor","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count","active_minus_pre14",0.105187479526222,0.111740558268842,0.00655307874261968,0.020314359492429,0.0203183477378284,1.11091886537587,1.11822270937246,1.14638868509506e-06,1.94677340701325e-07,"completed","completed",FALSE,FALSE
"s1_anchor","atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","active_minus_pre14",0.0469494035312908,0.0550401069849648,0.00809070345367397,0.0427186330546705,0.0422650525679485,1.04806897914879,1.05658299018381,0.434802345247555,0.308523778955522,"completed","completed",FALSE,FALSE
"s1_anchor","atx_35707a9578d5","Pelagic Cormorant","conditional_positive_numeric_count","active_minus_pre14",0.0240974481228979,0.0251939980097939,0.00109654988689604,0.0234069344054299,0.023088520510821,1.02439013792296,1.02551404891245,0.476126592641651,0.421955875285912,"completed","completed",FALSE,FALSE
"s1_anchor","atx_40f730f5ad72","Long-tailed Duck","checklist_reporting","active_minus_pre14",0.130478662180212,0.118110434431838,-0.0123682277483738,0.0603076682724646,0.0613135094778889,1.13937362788504,1.12536838392332,0.0914966824909325,0.136578707161869,"completed","completed",FALSE,FALSE
"s1_anchor","atx_40f730f5ad72","Long-tailed Duck","conditional_positive_numeric_count","active_minus_pre14",0.359167543876526,0.393751385822644,0.0345838419461184,0.0550939634298073,0.0570898155908193,1.43213672721105,1.48253192439925,4.06479584207625e-10,3.05284866708416e-11,"completed","completed",FALSE,FALSE
"s1_anchor","atx_4ae57d328ec6","Greater Scaup","checklist_reporting","active_minus_pre14",0.122639664049509,0.116781220716043,-0.00585844333346616,0.0468283954644811,0.0471541673106315,1.1304769960441,1.1238735225473,0.0325696616516724,0.0424469401175391,"completed","completed",FALSE,FALSE
"s1_anchor","atx_4ae57d328ec6","Greater Scaup","conditional_positive_numeric_count","active_minus_pre14",0.150424734942116,0.187156312862488,0.0367315779203718,0.0538443604809927,0.0546653045894647,1.16232781914027,1.20581575483169,0.0159802645270829,0.00189459102500619,"completed","completed",FALSE,FALSE
"s1_anchor","atx_59441ff7abde","Brant","checklist_reporting","active_minus_pre14",0.150813211009579,0.154205314739659,0.00339210373007978,0.0554265413897836,0.056182929753809,1.16277944339748,1.16673040913907,0.0260373264608843,0.0223628848327359,"completed","completed",FALSE,FALSE
"s1_anchor","atx_59441ff7abde","Brant","conditional_positive_numeric_count","active_minus_pre14",0.0670284359452532,0.0856316473590693,0.0186032114138161,0.0521729888317259,0.0538053466951427,1.0693258850346,1.08940496919138,0.338841275661963,0.20515128666324,"completed","completed",FALSE,FALSE
"s1_anchor","atx_5a9a3495d0ea","Western Gull","checklist_reporting","active_minus_pre14",0.153166156838662,0.206207654940324,0.0530414981016622,0.130134006238001,0.134018677455839,1.16551862174434,1.22900838716267,0.395917766159165,0.220249064436745,"completed","completed",FALSE,FALSE
"s1_anchor","atx_5a9a3495d0ea","Western Gull","conditional_positive_numeric_count","active_minus_pre14",0.0701417524384904,0.0819140930406425,0.0117723406021521,0.0393137701599369,0.0390741473704537,1.07266022268008,1.08536256562663,0.148797850005198,0.0789642051960028,"completed_with_singular_warning","completed_with_singular_warning",FALSE,FALSE
"s1_anchor","atx_6b4cfd1ab927","Horned Grebe","checklist_reporting","active_minus_pre14",-0.0684896554256355,-0.0651785928173614,0.00331106260827407,0.0379976619824376,0.037958980146265,0.933803119849375,0.93690012480224,0.163363315902389,0.187559165616422,"completed","completed",FALSE,FALSE
"s1_anchor","atx_6b4cfd1ab927","Horned Grebe","conditional_positive_numeric_count","active_minus_pre14",0.0201125342902358,0.02314426524402,0.00303173095378421,0.0222357305097065,0.022196048768579,1.02031615412059,1.0234141719931,0.525726526634795,0.440825368380463,"completed","completed",FALSE,FALSE
"s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","checklist_reporting","active_minus_pre14",-0.286301112268364,-0.278007626177219,0.00829348609114527,0.140628266975882,0.141491691529507,0.751036435611007,0.757291046256589,0.111368634367205,0.13182267402822,"completed","completed",FALSE,FALSE
"s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","conditional_positive_numeric_count","active_minus_pre14",,,,,,,,,,"failed_insufficient_support","failed_insufficient_support",,
