"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_24_26_baseline","db_band_8_10_baseline",-2.87998609679697e-05
"detection","db_band_0_2_early_pre","db_band_8_10_baseline",2.23073279188651e-05
"detection","db_band_2_4_early_pre","db_band_8_10_baseline",9.7159743727027e-06
"detection","db_band_4_6_early_pre","db_band_8_10_baseline",-5.04614710265075e-07
"detection","db_band_6_8_early_pre","db_band_8_10_baseline",2.2342738589757e-06
"detection","db_band_8_10_early_pre","db_band_8_10_baseline",-6.96265132612287e-06
"detection","db_band_10_12_early_pre","db_band_8_10_baseline",1.3039914701512e-05
"detection","db_band_12_14_early_pre","db_band_8_10_baseline",-6.02087804168408e-06
"detection","db_band_14_16_early_pre","db_band_8_10_baseline",5.89876744353853e-06
"detection","db_band_16_18_early_pre","db_band_8_10_baseline",3.90376987792984e-07
"detection","db_band_18_20_early_pre","db_band_8_10_baseline",-3.69261548097496e-07
"detection","db_band_20_22_early_pre","db_band_8_10_baseline",-6.00353548747197e-06
"detection","db_band_22_24_early_pre","db_band_8_10_baseline",-2.64823166322223e-05
"detection","db_band_24_26_early_pre","db_band_8_10_baseline",-9.77408721113991e-07
"detection","db_band_0_2_immediate_pre","db_band_8_10_baseline",7.00133780091523e-06
"detection","db_band_2_4_immediate_pre","db_band_8_10_baseline",5.66408472725273e-06
"detection","db_band_4_6_immediate_pre","db_band_8_10_baseline",1.50126424745064e-06
