"source_record_id","geometry_quality_tier","source_point_available","edge100_snap_distance_band","edge100_core_eligible","edge150_sensitivity_available","observed_length_available","actual_alongshore_geometry_constructed","safe_primary_complex_id","provisional_2km_7d_complex_id","antichain_complex_id","support_label"
"hsr_4baf9015ea8bfef4","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_4baf9015ea8bfef4","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_0e9ca9c3ec3d4879","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_0e9ca9c3ec3d4879","compl_85c5965f5edc3256","ac2_9f95dc312b2b5238","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_31d6f05c65890bc2","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_31d6f05c65890bc2","compl_ffa22be2f4ec2ae4","ac2_b9e380be6f3cc718","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b3525dd3e4c78c20","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b3525dd3e4c78c20","compl_ffa22be2f4ec2ae4","ac2_b9e380be6f3cc718","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_2085565ac740113f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_2085565ac740113f","compl_503dafb06426c077","ac2_a8e1d75a967cefbf","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e307f61b8c20099d","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e307f61b8c20099d","compl_503dafb06426c077","ac2_a8e1d75a967cefbf","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_a488ba413949a4e5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_a488ba413949a4e5","compl_9e41d2bf521571a1","ac2_b2e004cd7c3459c0","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_9d363d67f916d073","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_9d363d67f916d073","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e3a1b3f6ad604dda","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e3a1b3f6ad604dda","compl_395fff0cd1ca3c22","ac2_a59d1cf586dbe17e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_1601519c1befd0b4","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_1601519c1befd0b4","compl_a3c0e85564cc53f2","ac2_691db499510dba18","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_07d61d2f9a7624e5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_07d61d2f9a7624e5","compl_503dafb06426c077","ac2_a8e1d75a967cefbf","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_3a7978196fa6db1d","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_3a7978196fa6db1d","compl_a616b5654c04165b","ac2_d45fae34e2a9f308","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_622b67bdf6725d9b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_622b67bdf6725d9b","compl_a616b5654c04165b","ac2_d45fae34e2a9f308","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
