"definition","complex_id","source_records","region","regions","statistical_areas","sections","location_codes","methods","temporal_span_days","spatial_bbox_diameter_km","any_reversed_date","any_uncertain_date","generalized_easting_10km","generalized_northing_10km","crosses_region","crosses_statistical_area","crosses_section","crosses_location_code","mixed_method","temporal_review","spatial_review","review_required","review_reason","support_label"
"complex_1km_3d","hsr_1d2132e8a274f9c3",1,"A2W",1,1,1,1,1,,0,FALSE,TRUE,570,940,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_bff5ab39c13d4a3c",1,"A2W",1,1,1,1,1,,0,FALSE,TRUE,570,930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_2e485188ee48f84d",1,"A2W",1,1,1,1,1,,0,FALSE,TRUE,550,960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_72133df54c3df57e",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_54298945090311cc",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_27f41e13401b1b49",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_df9816a271cb5d0a",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_e084cd3356f7af97",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_4b3f341377afd770",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_c8d3fc18091504cf",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
