"source_record_id","source_record","complex_1km_3d","complex_2km_7d","complex_5km_14d","support_label","complex_2km_7d_antichain"
"hsr_06989fbd08efafc3","hsr_06989fbd08efafc3","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_941aed6bc05d5003","hsr_941aed6bc05d5003","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_34c366946e9ffb96","hsr_34c366946e9ffb96","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_eba235892e709b99","hsr_eba235892e709b99","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_1e600f85277965b9","hsr_1e600f85277965b9","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_b91ece83db1b8109","hsr_b91ece83db1b8109","compl_7a527efb9b1d5458","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_7c0d0e8356d66523","hsr_7c0d0e8356d66523","compl_612b5497aabf0a3f","compl_b4d3325e66523cc1","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8c55dea4193802ab"
"hsr_2892fd72a9f26359","hsr_2892fd72a9f26359","hsr_2892fd72a9f26359","hsr_2892fd72a9f26359","hsr_2892fd72a9f26359","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_ae0166a0b541ff0a"
"hsr_ac1572322096d942","hsr_ac1572322096d942","compl_96eaa91361325794","compl_57b65de4f1c609e2","compl_3dfa585bf5a8c33c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8d2d07a057b328f4"
"hsr_7b006bd68df38c70","hsr_7b006bd68df38c70","hsr_7b006bd68df38c70","hsr_7b006bd68df38c70","hsr_7b006bd68df38c70","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_1eb2694e91a70304"
"hsr_6256bbc5fd8e6450","hsr_6256bbc5fd8e6450","hsr_6256bbc5fd8e6450","hsr_6256bbc5fd8e6450","hsr_6256bbc5fd8e6450","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_4a9f5fc0b9a07c0e"
"hsr_015f902b64fcfc5e","hsr_015f902b64fcfc5e","hsr_015f902b64fcfc5e","hsr_015f902b64fcfc5e","hsr_015f902b64fcfc5e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f99d9d3298109875"
"hsr_00d53857e9826ebd","hsr_00d53857e9826ebd","hsr_00d53857e9826ebd","hsr_00d53857e9826ebd","hsr_00d53857e9826ebd","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_5bf70000a8c304c4"
"hsr_b762f273cde6f2fd","hsr_b762f273cde6f2fd","hsr_b762f273cde6f2fd","hsr_b762f273cde6f2fd","hsr_b762f273cde6f2fd","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f6b51ffcd73909a8"
"hsr_bd4b70feeb78e189","hsr_bd4b70feeb78e189","hsr_bd4b70feeb78e189","hsr_bd4b70feeb78e189","hsr_bd4b70feeb78e189","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_9231d85c8541ee2b"
"hsr_66c6dfd0e7525a40","hsr_66c6dfd0e7525a40","hsr_66c6dfd0e7525a40","hsr_66c6dfd0e7525a40","hsr_66c6dfd0e7525a40","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_0b7be8d273685658"
"hsr_5871a2cdb644da8b","hsr_5871a2cdb644da8b","hsr_5871a2cdb644da8b","hsr_5871a2cdb644da8b","hsr_5871a2cdb644da8b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_bbe2b9978c4b3b3e"
"hsr_f0037fb2e72da2e7","hsr_f0037fb2e72da2e7","hsr_f0037fb2e72da2e7","hsr_f0037fb2e72da2e7","hsr_f0037fb2e72da2e7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_4b3b1fe54ebf55fd"
"hsr_9f1d4d06eb23471d","hsr_9f1d4d06eb23471d","hsr_9f1d4d06eb23471d","hsr_9f1d4d06eb23471d","hsr_9f1d4d06eb23471d","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_4f0b5ab0a4c7cb57"
"hsr_b35fbcdbefada3f0","hsr_b35fbcdbefada3f0","hsr_b35fbcdbefada3f0","hsr_b35fbcdbefada3f0","hsr_b35fbcdbefada3f0","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6057efa6c2827441"
"hsr_de4f5ad02c4bdde4","hsr_de4f5ad02c4bdde4","hsr_de4f5ad02c4bdde4","hsr_de4f5ad02c4bdde4","hsr_de4f5ad02c4bdde4","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_a0084516fbf8e1dd"
"hsr_95a3edd0b27ace87","hsr_95a3edd0b27ace87","hsr_95a3edd0b27ace87","hsr_95a3edd0b27ace87","hsr_95a3edd0b27ace87","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_36c33f408531e859"
"hsr_fa82283f116bee97","hsr_fa82283f116bee97","hsr_fa82283f116bee97","hsr_fa82283f116bee97","hsr_fa82283f116bee97","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_59154058bf77a0e8"
"hsr_ef7a7803505020a6","hsr_ef7a7803505020a6","compl_fc9c1b1b50d49c2e","compl_fc9c1b1b50d49c2e","compl_fc9c1b1b50d49c2e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_5451ebde9904a2a6"
"hsr_92509d05ee0f2e86","hsr_92509d05ee0f2e86","compl_9bfab09cc247e4c0","compl_9bfab09cc247e4c0","compl_fc9c1b1b50d49c2e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f8208358fef19944"
