"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.000258391569866703,0.0179395676443412,-0.0354192980509956,0.0349025149112622,0.99974164181036,0.965200624658594,1.03551875624118,0.988508111231062,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.00431689008677198,0.0175633201835381,-0.0387403650954521,0.0301065849219082,0.995692414289767,0.962000445618684,1.03056437072292,0.805844727134899,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.120517729286321,0.0189850269427559,0.083307760232997,0.157727698339645,1.12808074085492,1.08687625437032,1.17084732762429,2.18073981617062e-10,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.0127153449687936,0.0146225159643821,-0.0159442596847573,0.0413749496223446,1.01279652869575,0.984182177151206,1.04224282084369,0.384533802252725,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.00829318294966086,0.0138010644536759,-0.0353427722271816,0.0187564063278598,0.991741110625612,0.965274490257818,1.01893341265263,0.547900641388549,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_2_4","2–<4 km","within_band_2_4_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.0414626474534676,0.013453200051673,0.0150948598753762,0.0678304350315591,1.0423342272866,1.01520936268186,1.07018382740587,0.00205620747560833,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.00194820946578761,0.0143636647944516,-0.0301004751489186,0.0262040562173434,0.998053687062462,0.970348032787291,1.02655040109442,0.892110176847935,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.0440534414237231,0.0149976415877477,0.0146586040586975,0.0734482787887488,1.04503820172551,1.01476656828508,1.07621287219907,0.0033102180537069,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.0844535443764554,0.0168180537131597,0.0514907648086023,0.117416323944309,1.08812229365819,1.05283946307328,1.12458752495825,5.12427201787263e-07,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.023771804453058,0.0126619297496025,-0.00104512183093917,0.0485887307370551,1.02405660606832,0.99895542411867,1.04978851619667,0.0604600732955896,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.00471142424991172,0.0119214315804138,-0.0280770007916811,0.0186541522918577,0.99529965709951,0.972313495009812,1.01882922792551,0.692690681730933,83359,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection","band_4_6","4–<6 km","within_band_4_6_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.039953601765964,0.0115586558269985,0.0172990526353529,0.062608150896575,1.04076248353081,1.01744954780187,1.06460959117371,0.000547044618855283,83359,"completed"
