"band","band_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","species","outcome","contrast","p_value_bh_13"
"band_14_16","14-<16 km",-0.109245121598193,0.0531886688623964,-0.213492996954117,-0.00499724624226905,0.896510636442793,0.80775781689581,0.995015219219762,0.039983706707558,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.129947046799564
"band_16_18","16-<18 km",-0.0524532545944411,0.0521006119788917,-0.154568577645565,0.0496620684566827,0.948898676672558,0.856784733847564,1.05091589873161,0.314046038861394,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.510324813149765
"band_18_20","18-<20 km",0.0186991833581128,0.0552253080519472,-0.0895404314588337,0.126938798175059,1.01887510792498,0.914351295820172,1.13534753031433,0.7349125280406,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.79615523871065
"band_20_22","20-<22 km",0.00867539820398735,0.0500609221545367,-0.089442206251768,0.106793002659743,1.00871313852949,0.914441112576597,1.11270390389057,0.862418129612796,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.862418129612796
"band_22_24","22-<24 km",-0.132057138517865,0.0513307656422826,-0.232663590475605,-0.0314506865601252,0.876290923684286,0.79242010636081,0.969038741909233,0.0100917280123855,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.0437308213870039
"band_24_26","24-26 km",-0.0961394377489984,0.058795718751182,-0.211376928946462,0.0190980534484646,0.90833735072243,0.809468897112648,1.01928158779228,0.10201896758076,"Glaucous-winged Gull","detection","spawn_start_minus_equal_duration_pooled_pre",0.231564119514557
"band_0_2","0-<2 km",0.325266209465259,0.0347578731534677,0.257142029905251,0.393390389025267,1.38439913708465,1.29322879087878,1.48199683171172,8.12152959333882e-21,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",1.05579884713405e-19
"band_2_4","2-<4 km",0.119261947722915,0.0345795044462657,0.0514873644049919,0.187036531040839,1.12666500697083,1.05283588300026,1.20567132867399,0.000562833228332478,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.00243894398944074
"band_4_6","4-<6 km",0.12618837886773,0.0320366983205672,0.0633976039758433,0.188979153759616,1.13449586320074,1.06545038233259,1.2080157696333,8.18663881832194e-05,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.000532131523190926
"band_6_8","6-<8 km",-0.0672939732820452,0.0325604413222912,-0.131111265594466,-0.00347668096962471,0.934920319340048,0.877120175663691,0.996529355687787,0.0387586402298571,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.0719803318554488
"band_8_10","8-<10 km",0.100567628898577,0.0319507989871389,0.0379452136065062,0.163190044190648,1.10579842310476,1.03867432609931,1.17726039993027,0.00164629230653524,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.00535044999623955
"band_10_12","10-<12 km",0.0432365437958965,0.0270067799183312,-0.00969577218243225,0.0961688597742253,1.04418486109096,0.990351080270835,1.1009449536152,0.109387670079863,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.175303388999082
"band_12_14","12-<14 km",0.0039769661958141,0.0355823363611991,-0.0657631315579262,0.0737170639495544,1.00398488481976,0.936352630414682,1.07650218112822,0.911007369153825,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.966223248665892
"band_14_16","14-<16 km",0.00123875753208505,0.0292535594326442,-0.0560971653754995,0.0585746804396696,1.00123952510911,0.945447266688533,1.06032416821294,0.966223248665892,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.966223248665892
"band_16_18","16-<18 km",0.0210418896405791,0.0322000669131347,-0.0420690818089447,0.084152861090103,1.02126483115823,0.958803542401453,1.08779516265486,0.513451083819937,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.606805826332653
"band_18_20","18-<20 km",-0.0437785502270565,0.030620564033154,-0.103793752918341,0.0162366524642278,0.957165898175891,0.90141119167813,1.01636918321955,0.152800047458213,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.198640061695677
"band_20_22","20-<22 km",0.0403127424872936,0.0260237647403618,-0.0106928991459589,0.0913183841205461,1.04113633084776,0.989364066676053,1.09561777703622,0.121363884691672,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.175303388999082
"band_22_24","22-<24 km",0.0912548595894096,0.0298792119477798,0.0326926802853222,0.149817038893497,1.09554818064119,1.03323295758653,1.16162169169454,0.00225717723357972,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.00586866080730727
"band_24_26","24-26 km",-0.0889386353176353,0.0309590083118344,-0.149617176605907,-0.0282600940293638,0.914901714505005,0.861037538651956,0.972135487280471,0.00406868385169166,"Glaucous-winged Gull","positive_numeric_count_given_detection","spawn_start_minus_equal_duration_pooled_pre",0.00881548167866527
