"feature_set","scheme","selected_k","cluster","mean_bootstrap_jaccard","stable_at_0_6","common_name","guild"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Surf Scoter","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Northern Pintail","surface_vegetation_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Harlequin Duck","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Lesser Scaup","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"California Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"White-winged Scoter","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Iceland Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Greater Scaup","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Bonaparte's Gull","gull_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Brant","surface_vegetation_roe"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"Long-tailed Duck","roe_diving_seaduck"
"A","reliability_shrunk",2,2,0.734857898534523,TRUE,"American Herring Gull","gull_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"American Crow","shoreline_scavenger"
"B","unweighted",2,1,0.825307007050522,TRUE,"Mallard","surface_vegetation_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Bald Eagle","shoreline_scavenger"
"B","unweighted",2,1,0.825307007050522,TRUE,"Canada Goose","surface_vegetation_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Common Raven","shoreline_scavenger"
"B","unweighted",2,1,0.825307007050522,TRUE,"Bufflehead","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Great Blue Heron","shoreline_scavenger"
"B","unweighted",2,1,0.825307007050522,TRUE,"American Wigeon","surface_vegetation_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Double-crested Cormorant","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Common Merganser","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Common Goldeneye","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Hooded Merganser","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Pelagic Cormorant","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Surf Scoter","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Common Loon","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Northern Pintail","surface_vegetation_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Black Oystercatcher","intertidal_roe_shorebird"
"B","unweighted",2,1,0.825307007050522,TRUE,"Red-breasted Merganser","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Horned Grebe","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Barrow's Goldeneye","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Red-necked Grebe","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Pigeon Guillemot","alcid_piscivore"
"B","unweighted",2,1,0.825307007050522,TRUE,"Pacific Loon","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Dunlin","intertidal_roe_shorebird"
"B","unweighted",2,1,0.825307007050522,TRUE,"White-winged Scoter","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Ring-billed Gull","gull_roe"
