"feature_set","scheme","algorithm","k","selection_role","analysis_taxon_id","common_name","cluster"
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_v2_000007","Common Raven",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_99238953638b","Bufflehead",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_7b80ddaff058","Great Blue Heron",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_a113baee5693","American Wigeon",2
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_a444854c6b66","Double-crested Cormorant",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_35518e24dfdd","Common Merganser",2
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_e0e678a61ad7","Short-billed Gull",2
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_82312e6f2848","Common Goldeneye",3
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_04afbeb21fb0","Hooded Merganser",1
"A","reliability_shrunk","Ward.D2",3,"k_plus_1","atx_35707a9578d5","Pelagic Cormorant",1
