effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_5_10,243,22,107,75,false
high_spatial_precision,complete_1988_2025,NA,late_egg,ring_10_20,491,41,232,163,false
high_spatial_precision,complete_1988_2025,NA,post,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,NA,post,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,NA,post,ring_1_2,30,9,15,14,false
high_spatial_precision,complete_1988_2025,NA,post,ring_2_3,25,11,16,11,false
high_spatial_precision,complete_1988_2025,NA,post,ring_3_4,46,9,33,18,false
high_spatial_precision,complete_1988_2025,NA,post,ring_4_5,55,16,24,19,false
high_spatial_precision,complete_1988_2025,NA,post,ring_5_10,434,27,166,101,false
high_spatial_precision,complete_1988_2025,NA,post,ring_10_20,977,37,387,280,false
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_5_10,52,24,13,15,false
high_spatial_precision,complete_1988_2025,PRD,early_pre,ring_10_20,286,162,28,38,false
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_4_5,,,,,true
