"pooling_family_id_v2","component_count","pooling_axis_count","canonical_model_id_unique_n","model_architecture_unique_n","component_estimand_id_unique_n","response_state_unique_n","unit_class_unique_n","effect_scale_unique_n","exposure_definition_unique_n","temporal_window_unique_n","spatial_buffer_unique_n","analysis_population_unique_n","adjustment_set_unique_n","component_role_unique_n","coefficient_meaning_unique_n","variance_meaning_unique_n","compatibility_status","estimability_status"
"pf2_83de5c75cd8e3eed9c391625",236,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_86ea7f60d851e93adaa5463a",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8773114507ac8fc1c81abce4",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8a29abd00e585f9043f35675",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8c6d11a174a5286cced2c002",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8c7a25febcb10e30d1ead94b",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8dd6ceb5f7a9e78536712d6e",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_8f08065cb779fadd37dc476c",235,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_914dbaa230dd2cd1590a66b1",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_91a7602799863c6b7e560c5a",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_9480acc86da3e07259fdbf42",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_967bb935e52f69da5beea7d0",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_9998fb16c88151e769fb6161",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_a0de149d94d29ca0d3fff8f6",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_a50eae3649bf29b0900fb7ed",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
