"v1_effect_row_id","pooling_family_id_v2","component_evidence_id","model_id","canonical_model_id","included_in_future_estimator","disposition_reason_code","numeric_input_reason_code"
"v1r_edc8f18e63d3fef38de75a24","pf2_0bdfe4f2895698685dec17c5","ce2_326b208e217414dbb0494feb","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_edcb9001c717b5533f30eaf8","pf2_36e1bff0b90bbf366a916df1","ce2_7ee2287bb98a178ed0a21869","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee0f64b6d139cc8841974431","pf2_e28aa8a93065ca93d76aa9b1","ce2_372cc8c3ba4685fbc13495e0","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_ee14c1340250e42599fc15e0","pf2_0bdfe4f2895698685dec17c5","ce2_c0bbef52c1f8cf64f1effdab","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee181ebf88a2a993b0c43b39","pf2_09fa5f08ca9b9221d529eeb6","ce2_d509e0ab85b6970c48d7efd2","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee19b33c548968f8814dcf84","pf2_50a1cac55941640e016d5550","ce2_2d69d2ed93e9481ed03225a1","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee320cbf448301c0cf6b4729","pf2_9480acc86da3e07259fdbf42","ce2_b25247fd71c01ddf71598342","M08","M08",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee3e80c0ceaa14f4293fcce8","pf2_22ef33bc4f98e4ed0be3e6cb","ce2_61959f21d36a1f173b866c27","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee443554da857eb835950ada","pf2_22b68febbb83c1b320fa3fa7","ce2_ca2846f290fa110b5cb0b930","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee4b591d29b15ab6939dfffe","pf2_0bdfe4f2895698685dec17c5","ce2_8f4fbf033b8e41178ac9a3f4","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee579fedae424bfa808f56b3","pf2_e2b001e4dc833b785d92a998","ce2_9f4dda12de005baa995b27f5","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee5bbf170f8601f691871233","pf2_7512ad88c8966f79d2d41477","ce2_db0f14f69f5f900d420e7adb","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_ee5c202ae4e9bd29cb20ec39","pf2_8f08065cb779fadd37dc476c","ce2_229e9f100b2ed6906dc04961","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee6d067ed5e205232164c8bd","pf2_86ea7f60d851e93adaa5463a","ce2_0644cf4a9d0d7c8d9d93923f","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee7481134afad5e9aa86fcee","pf2_ff3557364b010233e125f23c","ce2_8818dd645377b72881da8395","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee7a5b5de78d5fb7a5fc6be1","pf2_74542ad14d7b350d085128fa","ce2_7fcefefe7203d688122bfbab","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee7da1658c8a4151443fc177","pf2_767e79249393e839d9193f96","ce2_4b2b3fcd74913a50d1d9ce68","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ee82c98d8a112ae78651e620","pf2_3ad47b92ddd587d639f854a9","ce2_0be16e31880d47b12763055c","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
